"Echipament;Tip;Titlu;Continut"
"TRAFO;Defect;releu diferential – punte 8-9 suplimentar?;nu lucreaz? releul diferen?ial"
"TRAFO;Defect;punte suplimentar? în ir?cleme 610-235;declansarea in?corect? a întreruptorului 20 kV din suprasarcin?"
"TRAFO;Defect;releu timp D117 contact 3-4 ?untat;func?ioneaz? PMB f?r? s? fac? control demaraj protec?ie homopolar? curent temporizat?"
"RD110;Intrebare;Cum afecteaza func?ionarea protectiei de distanta inversarea conductoarelor din bornele 7-8 la releul RD110? Analizati pentru toate tipurile defecte.;1.Pentru defecte R-N ?i S-N declanseaza în treapta 1 (lipsa aport tensiune), 2. Pentru defect T-N func?ioneaz? cu direc?ie spate (se trage Qf), 3.Pentru defect R-S func?ioneaz? correct, 4. Pentru defect S-T ?i R-T func?ioneaz? în treapta 1 (lipsa aport U)"
"RD110;Intrebare;Explicati functionarea releului RD110 in cazul in care contactul tz (t2) este izolat.;nu se excita releul H 2p, nu se deschide h2, nu se introduce in circuit rezistenta r2 2p, nu se inchide contactul h1 si nu declanseaza in tr.2 2p, RD110 declanseaza in tr.3 la tensiuni de tr.2 2p, RD 110 declanseaza in tr.4 la tensiuni de tr.3. 2p"
"RD110;Intrebare;Cum este afectat? func?ionarea releului de distan?? RD 110 în cazul defect?rii releului BR3 (bobina întrerupt?)?;În cazul apari?iei unui defect pe faza R balan?a electric? care alimenteaz? elementul de m?sur? Z nu va fi alimentat? din curentul de defect conducînd astfel la nefunc?ionarea elementului de m?sur? a impedan?ei. Releul de distan?? va func?iona doar în treapta a patra care lucreaz? independent de distan?a pîn? la locul defectului, doar în baza demarajului."
"RD110;Intrebare;În ce situa?ii se folose?te regimul de sensibilizare a protec?iilor ?i cum este realizat? aceast? func?ie în stelajul de linie cu RD110?;Se folose?te la încercarea unui echipament (linie sau trafo), prin 12DD introdus, releul 11 RI excitat ?i 9DD introdus. Contactul normal deschis 3_5 al releului 11RI va da plusul la demarajul de minim? impedan?? al protec?iei de distan?? indiferent de condi?iile de blocaj ?i va asigura astfel func?ionarea f?r? verificarea condi?iilor de blocaj a protec?iei de distan??. Contactul normal deschis 9_12 al releului 11RI realizeaz? declan?area întreruptorului doar în baza demarajului de la protec?iile de distan?? (2RI), respectiv homopolar? (4RI). Contactul normal deschis 10_13 al releului 11RI va asigura func?ionarea nedirec?ionat? a protec?iei homopolare."
"RD110;Intrebare;În schema LEA 110 kV cu RD110, care este efectul defect?rii contactului 12_13 al releului 11RT (contact imperfect)?;Nu func?ioneaz? releu RAR prin condi?ia de minim? tensiune, numai prin condi?ia de control sincronism."
"RD110;Intrebare;În schema LEA 110 kV cu RD110, ce rol are releul RCh?;Lucreaz? în parte de blocaj protec?ie distan?? la dispari?ia tensiunii alternative, cu punerea în eviden?? a unui defect real pe linie, asigurând astfel + la protec?ia de distan?? indiferent de tensiuni"
"RD110;Intrebare;În schema LEA 110 kV cu D114, ce rol are releul 3RI?;Face anulare prelungire treapta 1 dup? func?ionarea RAR, în cazul în care este activat? prelungirea prin eclisa R pe 1/1,5 OZ33 – 23_24 contact Bt OZ33 – 24 -> 3RI-1 (dup? pauza RAR) 3RI – 3_5 -> RZ – 42 (anulare prelungire treapta 1)"
"RD110;Intrebare;Ce rol are blocul de Incercare 5DI din stelajul de linie 110kV echipat cu releu de tip RD110?;1. Intregeste circuitele de tensiune altenativa pentru verificarea conditiilor RAR, 2. Intregeste ciruitul de tensiune continua pentru verificarea conditiilor RAR."
"RD110;Intrebare;În schema LEA 110 kV cu RD110, ce rol are releul11RI?;Asigur? sensibilizarea protec?iei de distan?? ?i protec?iei homopolare, asigurând declan?area doar în baza demarajelor, protec?iile enumerate lucrând netemporizat ?i nedirec?ionat"
"RD110;Defect;Tensiunea T RD110_ 7 scoas? în interiorul releului;Nu func?ioneaza protec?ia de distan?? în treptele superioare (declan?eaza doar în treapta 1)"
"RD110;Defect;10RI - inversate firele la borna 4 cu borna 5;func?ioneaza RAR, f?r? a avea condi?iile RAR îndeplinite"
"RD110;Defect;11RT - bobina întrerupt?;func?ioneaz? RAR f?r? condi?ie de minim? tensiune"
"RD110;Defect;OZ33 - punte 1 cu 9 întrerupt?;Nu func?ioneaza declan?area direct"
"RD110;Defect;RPH - lipsa tensiune RPH borna 7 sau 8;Nu func?ioneaz? releul directional"
"RD110;Defect;Întrerupt? func?ia 6, de la 9RI_10;Nu func?ioneaza anclan?area RAR"
"RD110;Defect;RD110 – releu semnalizare demaraj minima impedanta As (N) contact n3 (normal deschis) ?untat;nu este demaraj la minima impedan??"
"RD110;Defect;1RI contact 3-5 u?ntat în releu;plus permanent la demaraj, f?r? control blocare protec?ie distan??"
"D114;Intrebare;În schema LEA 110 kV cu D114, ce rol are releul 3RI?;Face anulare prelungire treapta 1 dup? func?ionarea RAR, în cazul în care este activat? prelungirea prin eclisa R pe 1/1,5. În releul OZ33, dup? scurgerea timpului de pauz? RAR ?i transmiterea impulsului de anclan?are este activat releul de timp pentru blocarea RAR-ului BT, care prin contactul bt0 racordat la bornele 23_24 ale releului RAR excit? bobina releului intermediar 3RI. Releului intermediar 3RI prin contactul normal deschis 3_5 transmite impuls în borna 42 a releului de distan?? excitând releul E, care prin comutarea contactului realizeaz? revenirea la domeniul de m?sur? nemodificat (reglat pe releu)."
"D114;Intrebare;În schema LEA 110 kV cu D114, ce face 01RI prin contactul 3_5?;Face control declan?are prin DRRI, cu demaraj de protec?ie homopolar? (tr.1 sau tr.2)"
"D114;Intrebare;În schema LEA 110 kV cu D114, ce rol are releul 0RI?;Face control declan?are prin DRRI, cu demaraj la protec?ie de distan??"
"D114;Intrebare;În schema LEA 110 kV cu D114, ce rol are releul RCh?;Lucreaz? în parte de blocaj protec?ie distan?? la arderea siguran?elor de tensiune, cu punerea în eviden?? a unui defect real pe linie, asigurând astfel + la protec?ia de distan?? indiferent de tensiuni"
"D114;Intrebare;Ce rol are releul 4RI din stelajul de linie 110kV echipat cu releu de tip D114?;1. Executa comanda de reanclansare prin RAR. 2. Realizeaza semnalul “Functionat RAR”"
"D114;Intrebare;Care sunt conditiile care duc la excitarea releului 1RI?;Releul de flux nul alimentat cu tensiuni simetrice ?i prezenta tensiune alimentare distanta sau lipsa tensiune de sincronizare. Daca dispar o tensiune sau 2 tensiuni din circuitele secundare trebuie sa apara circulatie pe nul (curent homopolar)"
"D114;Defect;4RT - bobina întrerupt?;Func?ioneaz? RAR f?r? condi?ie de minim? tensiune"
"D114;Defect;4RI – contact 3_5 defect;Nu func?ioneaza anclan?area RAR (func?ia 6)"
"D114;Defect;Punte între 1DD si 2DD întrerupt?;Nu func?ioneaz? declan?area prin protec?ia homopolar? tr.2"
"D114;Defect;RPH - lipsa tensiune RPH borna 3 sau 4;Nu func?ioneaz? releul directional"
"D114;Defect;RPH - ?unt la bornele 1_2;Nu func?ioneaz? releul directional"
"D114;Defect;D114 - punte dup? eclisa “n” scoas?/întrerupt? în ir?cleme 2 de pe u?a releului;releul nu lucreaz? la defecte monofazate, lucreaz? doar din demaraj"
"D114;Defect;releu directional fire dezlipite în spate la eclisa de unghi 110 grade;nu func?ioneaz? declansarea prin protec?ia homopolar? tr.2"
