ID;Œntrebare;Var_A;Var_B;Var_C;Var_D;Var_E;Raspuns_Corect;Categorie;Punctaj
2803;Organizarea interventiei de stingere a incendiilor la locul de munca cuprinde:;stabilirea componentei echipelor care trebuie sa asigure salvarea si evacuarea...;stabilirea sistemelor, instalatiilor si a dispozitivelor de limitare...;stabilirea mijloacelor tehnice de alarmare si de alertare...;organizarea efectiva a interventiei, prin nominalizarea celor care trebuie sa utilizeze...;verificarea spatiilor la terminarea programului de lucru;ABCD;PSI;2
2804;Interventia la locul de munca in caz de incendiu presupune:;alarmarea imediata a personalului...;salvarea rapida si in siguranta a personalului...;intreruperea alimentarii cu energie electrica, gaze si fluide...;actionarea asupra focarului de incendiu cu mijloacele tehnice...;nominalizarea celor care trebuie sa utilizeze sau sa puna in functiune mijloacele tehnice...;ABCD;PSI;2
2805;Planurile de protectie impotriva incendiilor prevazute sunt:;planul de evacuare a persoanelor;planul de depozitare si de evacuare a materialelor...;planul de interventie;planul de reviziia instalatiilor de stins incendiu;-;ABC;PSI;2
2806;Instalatiile de protectie impotriva incendiilor pot fi:;instalatii de detectare, semnalizare si alarmare la incendiu;instalatii de stingere a incendiilor cu gaze;instalatii de stingere a incendiilor cu aerosoli;instalatii de evacuare a fumului si a gazelor fierbinti;instalatii speciale de stingere cu apa;ABCDE;PSI;2
2807;Instructiunile de aparare impotriva incendiilor cuprind:;"prevederile specifice de aparare impotriva incendiilor din reglementarile in vigoare;";obligatiile salariatilor privind respectarea programului de lucru;"obligatiile salariatilor privind apararea impotriva incendiilor;";regulile si masurile specifice de aparare...;"evidentierea elementelor care determina riscul de incendiu sau de explozie;";ACDE;PSI;2
2823;In caz de lesin primul ajutor se acorda astfel:;se verifica daca victima are caile respiratorii deschise si respira;se slabesc hainele la gat, piept si talie;se aseaza victima in pozitie de siguranta;se asigura aer proaspat si se protejeaza victima de temperaturi extreme;se mentine victima intinsa confortabil inca 10-15 minute...;ABCDE;PROTECTIA MUNCII;3
3125;Accidentele de munca se clasifica... in:;"accidente mortale;";"accidente care produc invaliditate;";"accidente care produc incapacitate temporara de munca cel mult 3 zile calendaristice;";accidente colective, cand sunt accidentate cel putin 3 persoane...;-;ABD;PROTECTIA MUNCII;3
3126;Prin accident de munca se intelege:;"vatamarea violenta a organismului... care provoaca incapacitate temporara de munca cel mult 3 zile calendaristice;";"vatamarea violenta a organismului... care provoaca invaliditate;";"intoxicarea acuta profesionala... care provoaca incapacitate temporara de munca cel putin 3 zile calendaristice;";"vatamarea violenta a organismului... care provoaca decesul;";-;BCD;PROTECTIA MUNCII;3
3127;Instruirea lucratorilor pentru conditiile specifice locului de munca se realizeaza in urmatoarele situatii:;"la angajare;";"la executarea unor lucrari speciale;";"la introducerea oricarei noi tehnologii sau proceduri de lucru;";"in cazul unor modificari la echipamentul existent;";"la introducerea unui nou echipament de munca;";ABCDE;PROTECTIA MUNCII;3
3128;Lucratorii au urmatoarele obligatii privind respectarea Legii securitatii si sanatatii in munca:;sa utilizeze corect masinile, aparatura, uneltele...;sa utilizeze corect echipamentul individual de protectie acordat...;sa procedeze la scoaterea din functiune, la modificarea... dispozitivelor de securitate proprii...;sa dea relatiile solicitate de catre inspectorii de munca si inspectorii sanitari.;sa isi insuseasca si sa respecte prevederile legislatiei...;ABDE;PROTECTIA MUNCII;3
3129;In sensul prevederilor legii 319/2006 se considera de asemenea accident de munca:;accidentul suferit de persoane aflate in vizita in intreprindere...;accidentul survenit in cadrul activitatilor cultural-sportive organizate...;"accidentul suferit de orice persoana, ca urmare a unei actiuni... pentru salvarea de vieti omenesti;";accidentul determinat de fenomene sau calamitati naturale... daca victima nu se afla in timpul procesului de munca...;"disparitia unei persoane... in imprejurari care indreptatesc presupunerea decesului acesteia;";ABCE;PROTECTIA MUNCII;3
3139;Echipamentul individual de protectie trebuie sa respecte urmatoarele prevederi:;sa fie corespunzator pentru riscurile implicate...;"sa corespunda conditiilor existente la locul de munca;";"sa fie universal pentru a putea fi folosit in imprejurari diverse;";"sa ia in considerare cerintele ergonomice si starea sanatatii lucratorului;";sa se potriveasca in mod corect persoanei care il poarta...;ABDE;PROTECTIA MUNCII;3
3142;In cazurile de forta majora determinate de incendii... persoanele... au urmatoarele obligatii:;sa permita neconditionat utilizarea apei, a materialelor si a mijloacelor proprii...;sa permita conditionat accesul serviciilor de urgenta...;sa accepte masurile stabilite de comandantul interventiei pentru degajarea terenurilor...;sa accepte masurile stabilite de comandantul interventiei pentru oprirea temporara a activitatilor...;-;ACD;PSI;2
3143;Fiecare salariat are, la locul de munca, urmatoarele obligatii:;sa respecte regulile si masurile de aparare Impotriva incendiilor...;sa nu utilizeze substantele periculoase... potrivit instructiunilor tehnice...;sa nu efectueze manevre nepermise sau modificari neautorizate...;sa actioneze, In conformitate cu procedurile stabilite la locul de munca...;sa furnizeze persoanelor abilitate toate datele si informatiile...;ACDE;PSI;2
3144;La stabilirea masurilor specifice de prevenire a incendiilor se au in vedere:;prevenirea manifestarii surselor specifice de aprindere;gestionarea materialelor si a deseurilor combustibile...;actionarea asupra focarului de incendiu cu utilaje tehnice...;verificarea spatiilor la terminarea programului de lucru;afisarea la loc vizibil a cailor de evacuare a materialelor in caz de incendiu;ABD;PSI;2
3147;Organizarea interventiei de stingere a incendiilor la locul de munca cuprinde:;stabilirea componentei echipelor...;stabilirea sistemelor, instalatiilor si a dispozitivelor de limitare...;evacuarea bunurilor periclitate de incendiu...;organizarea efectiva a interventiei...;verificarea spatiilor la terminarea programului de lucru;ABD;PSI;2
3150;Interventia la locul de munca in caz de incendiu presupune:;alarmarea imediata a personalului...;salvarea rapida si in siguranta a personalului...;marcarea pericolului de incendiu prin montarea indicatoarelor...;actionarea asupra focarului de incendiu...;nominalizarea celor care trebuie sa utilizeze sau sa puna in functiune mijloacele tehnice...;ABD;PSI;2
3151;Planurile de protectie impotriva incendiilor prevazute sunt:;planul de evacuare a persoanelor;registrul pentru evidenta permiselor de lucru cu foc;planul de interventie;planul de revizii a instalatiilor de stins incendiu;-;AC;PSI;2
3674;Echipamentul individual de protectie este:;- echipamentul utilizat in procesul muncii pentru protejarea imbracamintei personale...;- aparatele, dispozitivele, uneltele si alte mijloace asemanatoare...;-totalitatea mijloacelor cu care este dotat fiecare participant... pentru a fi protejat impotriva actiunii factorilor de risc...;-;-;C;PROTECTIA MUNCII;3
3675;In situatia unui accident in instalatii electrice cu tensiunea de lucru peste 1000V se actioneaza astfel:;este obligatorie scoaterea instalatiei de sub tensiune;la posturile de transformare aeriene este permisa scoaterea accidentatului...;scoaterea accidentatului de sub tensiune este permisa numai in statiile electrice...;-;-;AC;PROTECTIA MUNCII;3
3676;Executarea respiratiei artificiale in caz de stop respirator necesita parcurgerea urmatoarelor faze:;aprecierea capacitatii de raspuns a victimei;deschiderea (eliberarea ) cailor respiratorii;verificarea existentei respiratiei;ventilarea plamanilor;verificarea existentei pulsului;ABCDE;PROTECTIA MUNCII;3
3677;Autorizarea din punctul de vedere al securitatii si sanatatii in munca... trebuie sa aiba in vedere... cumulativ:;examinare medicala...;examinare asupra cunostintelor profesionale si a deprinderilor practice...;examinare privind deprinderi de conducere a autovehiculelor;examinare asupra cunoasterii instructiunilor si a acordarii primului ajutor...;-;ABD;PROTECTIA MUNCII;3
3678;Executantii care sunt autorizati pentru lucrari in conditii speciale trebuie sa aiba aceste mentiuni, atat in fisa de examinare pentru autorizare, cat si in talonul de autorizare. Conditiile speciale pentru autorizare, din punctul de vedere al securitatii muncii, sunt:;"lucrul sub tensiune;";"lucrul la inaltime;";identificare LEA de medie si joasa tensiune.;"incercarile cu tensiune marita, de la o sursa independenta;";"defectoscopie;";ABDE;PROTECTIA MUNCII;3
3679;Masurile tehnice obligatorii pentru realizarea unei lucrari in instalatiile electrice, cu scoaterea acestora de sub tensiune, sunt:;"separarea electrica a instalatiei respectiv: - intreruperea tensiunii si separarea vizibila a instalatiei sau a partii de instalatie, dupa caz, la care urmeaza a se lucra si anularea automatizarilor; - blocarea in pozitia deschis a dispozitivelor de actionare ale aparatelor de comutatie prin care s-a facut separarea vizibila si aplicarea indicatoarelor de securitate cu caracter de interzicere pe aceste dispozitive;";"identificarea instalatiei sau a partii din instalatie in care urmeaza a se lucra;";"verificarea lipsei tensiunii si legarea imediata a instalatiei sau a partii de instalatie la pamant si in scurtcircuit;";"delimitarea materiala a zonei de lucru;";asigurarea impotriva accidentelor de natura electrica;ABCD;PROTECTIA MUNCII;3
3680;Pentru executarea lucrarilor in instalatiile electrice, cu scoaterea acestora de sub tensiune, trebuie scoase de sub tensiune, dupa caz:;"partile active aflate sub tensiune la care urmeaza a se lucra;";"partile active aflate sub tensiune la care nu se lucreaza, dar se gasesc la o distanta mai mica decat limita admisa (distanta de vecinatate) la care se pot apropia persoanele sau obiectele de lucru (utilaje, unelte etc.) indicate in documentatia tehnica specifica;";partile active aflate sub tensiune ale instalatiilor situate la o distanta mai mare decat limita admisa (distanta de vecinatate) dar care, datorita lucrarilor care se executa in apropiere, trebuie scoase de sub tensiune.;partile active ale instalatiilor retrase din exploatare si legate la pamant;-;ABC;PROTECTIA MUNCII;3
3681;Zona de lucru trebuie sa se asigure dupa separarea electrica, prin efectuarea succesiva a urmatoarelor masuri tehnice, si anume :;"identificarea instalatiei sau a partii din instalatie in care urmeaza a se lucra;";"verificarea lipsei tensiunii, urmata de legarea imediata a partii de instalatie la pamant si in scurtcircuit;";"delimitarea materiala a zonei de lucru;";asigurarea impotriva accidentelor de natura electrica.;-;ABC;PROTECTIA MUNCII;3
3682;Separarea vizibila trebuie sa se realizeze prin:;deschiderea separatoarelor;scoaterea patroanelor sigurantelor fuzibile;debrosarea intreruptoarelor;dezlegarea cordoanelor la liniile electrice aeriene sau demontarea unor parti active ale instalatiei electrice (bare, conductoare);legarea cablurilor de la aparataj.;ABCD;PROTECTIA MUNCII;3
3683;Blocarea in pozitie deschis a dispozitivelor de actionare a aparatelor prin care s-a realizat separarea vizibila... trebuie sa se realizeze prin blocarea directa, dupa caz, folosind unul din urmatoarele procedee:;"blocarea dispozitivelor de actionare manuala ale separatoarelor cu lacate sau mijloace special destinate acestui scop;";blocarea pe pozitie scos a carucioarelor intreruptoarelor...;"montarea unor capace (manere) electroizolante, colorate in rosu, in locul patroanelor sigurantelor fuzibile de joasa tensiune;";montarea unor placi sau teci electroizolante... intre sau pe contactele deschise ale separatoarelor sau intreruptoarelor...;intreruperea tensiunii operative pentru a evita conectarea echipamentelor;ABCD;PROTECTIA MUNCII;3
3684;Blocarea in pozitie deschis a dispozitivelor de actionare... trebuie sa se realizeze prin blocarea indirecta, folosind unul din urmatoarele procedee:;scoaterea patroanelor sigurantelor fuzibile sau deconectarea intreruptorului de pe circuitul de alimentare al motorului care antreneaza dispozitivul de actionare...;"inchiderea robinetului de alimentare cu aer comprimat... si descarcarea de presiune a circuitului de dupa robinet;";dezlegarea conductoarelor de la bobinele de actionare prin comanda de la distanta...;alte procedee: procedee electronice sau prin soft etc.;-;ABCD;PROTECTIA MUNCII;3
3685;Identificarea instalatiei se realizeaza vizual, obligatoriu la fata locului, pe baza urmatoarelor elemente dupa caz:;schema electrica a statiei, postului,etc.;"schema electrica de traseu a liniei (aeriene sau cablu);";"schema electrica a fluxurilor de cabluri (circuite);";scheme de principiu din manualele de specialitate;"inscriptii, numerotari, denumiri sau planuri, harti, planse si confruntarea cu dispunerea in teren a instalatiilor;";ABCE;PROTECTIA MUNCII;3
3686;Intreruperea lucrarii este de competenta sefului de lucrare, a admitentului sau a persoanelor cu drept de control... In functie de natura intreruperii aceasta poate fi:;"pentru masa si odihna;";"ca urmare a imposibilitatii de continuare a lucrarii;";dispusa ca urmare a nerespectarii normelor de poluare;"pentru utilizarea formatiei de lucru la executarea unor lucrari urgente (remedieri in urma unor incidente etc.);";pentru efectuarea unor probe, incercari asupra instalatiei, verificarea lucrarii sau la sfarsitul programului de lucru zilnic...;ABDE;PROTECTIA MUNCII;3
3687;Pentru executarea lucrarilor in baza ITI-PM, masura organizatorica de dispunere a lucrarii, trebuie sa se realizeze, prin consemnarea lucrarilor de catre emitent... notandu-se:;"instalatia in care urmeaza a se lucra;";"numarul ITI-PM in baza careia urmeaza a se executa lucrarea;";"numele emitentului, admitentului, sefului de lucrare si al membrilor formatiei de lucru;";"data executarii lucrarii si semnaturile emitentului si a sefului de lucrare;";data si ora la care seful de lucrare a comunicat personalului de servire operativa inceperea si terminarea instructajului periodic.;ABCD;PROTECTIA MUNCII;3
3688;In vederea executarii unei lucrari pe baza ITI-PM in instalatii electrice, personalul de servire operativa trebuie sa consemneze in evidentele sale operative urmatoarele:;"denumirea instalatiei si a echipamentului (elementului) la care se lucreaza;";"numarul ITI-PM in baza careia se executa lucrarea;";"numele sefului de lucrare si numarul membrilor formatiei de lucru;";"manevrele executate;";data si ora inceperii si terminarii instructajului periodic;ABCD;PROTECTIA MUNCII;3
3689;Daca din cauza arcului electric provocat de accidentat... acestuia i s-au aprins hainele... se va actiona astfel:;se va stinge cu apa;se va folosi stingator cu CO2(bioxid de carbon);se va folosi stingator cu praf total;se va stinge prin inabusire;se va folosi stingator cu spuma chimica pentru textile;D;PSI;2
3731;Trecerea curentului electric prin corpul omenesc, are urmatoarele efecte:;"sub actiunea curentului electric alternativ contractarile si destinderile fibrelor muschiului inimii se produc foarte rapid si dezordonat;";"fenomenul de fibrilatie echivaleaza practic cu oprirea functionarii inimii;";"actiunea curentului electric alternativ asupra sistemului nervos se manifesta in special prin afectarea functionarii respiratiei pana la oprirea ei;";sub actiunea curentului electric se produc arsuri ale pielii, se pot distruge muschii, grasimea si nervii.;-;ABCD;PROTECTIA MUNCII;3
3732;Factorii care determina gravitatea efectelor electrocutarii sunt:;"durata actiunii asupra corpului omenesc;";"valoarea curentului care s-a stabilit prin corp;";"distanta la care s-a aflat fata de instalatia sub tensiune;";"calea de inchidere a curentului electric prin corp;";starea fizica a omului;ABDE;PROTECTIA MUNCII;3
3733;Electrocutarea poate avea urmatoarele forme de manifestare:;"electrocutarea cu oprirea respiratiei si a inimii;";"electrocutarea cu oprirea inimii dar cu pastrarea respiratiei;";"electrocutarea cu oprirea respiratiei, dar inima continua sa functioneze;";"electrocutarea cu pastrarea cunostintei;";electrocutarea cu pierderea cunostintei dar cu pastrarea circulatiei si a respiratiei.;ACDE;PROTECTIA MUNCII;3
3750;Din categoria mijloacelor de protectie pentru legarea la pamant si in scurtcircuit a instalatiilor electrice... fac parte:;cutitele de legare la pamant;atenuatoare de inductie electrostatica;dispozitivele mobile de legare la pamant si in scurtcircuit;dispozitive de descarcare a sarcinii capacitive din elementele bateriilor de condensatoare;dispozitive de descarcare a sarcinii capacitiva a cablurilor dupa incercari;ABCDE;PROTECTIA MUNCII;3
3751;Din categoria mijloacelor de protectie impotriva actiunii arcului electric si a traumatismelor mecanice fac parte:;Casca de protectie a capului;Imbracamintea de protectie impotriva intemperiilor(ploaie,etc.);Viziera de protectie a fetei;Imbracaminte din tesatura termorezistenta;-;ACD;PROTECTIA MUNCII;3
3752;Lucrarea fara scoatere de sub tensiune este lucrarea care se executa in una din urmatoarele situatii:;la distanta fata de partile aflate sub tensiune, la care personalul executant nu depaseste ingradirile fixe de protectie;la distanta mai mica decat distanta de vecinatate...;in instalatii la care s-a deconectat intreruptorul... dar se lucreaza pe baza de autorizatie de lucru...;in instalatii la care s-a intrerupt tensiunea... dar care nu sunt legate la pamant si in scurtcircuit;direct asupra partilor aflate sub tensiune utilizand mijloace de protectie si unelte electroizolante;ABDE;PROTECTIA MUNCII;3
3753;In functie de criteriul de clasificare ales, accidentul de munca poate fi caracterizat astfel:;Accident de munca colectiv, in care sunt accidentate cel putin 3 persoane, in acelasi loc, in acelasi timp si din aceleasi cauze;Accident de munca cu incapacitate temporara, soldat cu tulburarea ireversibila a unei stari functionale a victimei...;Accident de munca de circulatie, survenit in timpul circulatiei pe drumurile publice, care are drept cauze incalcarea prevederilor legale privind circulatia pe drumurile publice;Accident de munca de traseu, survenit pe traseul normal pe care lucratorul il parcurge... intre locul de munca si domiciliu;-;ABD;PROTECTIA MUNCII;3
3759;Masurarile directe cu megohmmetrul asupra instalatiilor... trebuie sa se execute dupa caz pe baza de ITI-PM, AS sau DV in urmatoarele conditii:;"instalatia respectiva trebuie sa fie separata electric si descarcata de sarcina capacitiva, inaintea fiecarei masurari;";celelalte lucrari asupra instalatiei respective trebuie intrerupte si personalul evacuat, in zona ramanand numai executantii masurarii.;electricianul care aplica conductoarele megohmmetrului... va fi echipat cu manusi electroizolante...;"in punctele accesibile ale instalatiilor asupra carora se efectueaza masurarile si care nu sunt ingradite... trebuie sa se posteze personal de paza;";-;ABD;PROTECTIA MUNCII;3
3760;Urmatoarele masuri de securitatea muncii sunt necesare la executarea lucrarilor la circuite secundare:;Lucrarile la circuitele secundare... trebuie sa se execute in baza AL sau a ITI-PM.;Lucrarile la circuitele secundare, care impun patrunderea in instalatiile primare... se vor executa cu stricta supraveghere a sefului de lucrare.;FormatÌa de lucru... trebuie sa fie... compusa din doua persoane...;Lucrarile la circuitele secundare care necesita intreruperea tensiunii, trebuie sa se execute numai dupa verificarea lipsei acesteia...;In zona in care se lucreaza la panourile cu circuite secundare, se va utiliza incaltaminte electroizolanta sau covoare electroizolante...;ADE;PROTECTIA MUNCII;3
3761;Conditiile in care lucrarea se poate executa pe baza de INSTRUCTIUNI TEHNICE INTERNE DE PROTECTIE A MUNCII ( ITI-PM )sunt urmatoarele:;"cu sau fara separare electrica, respectiv, cu sau fara foaie de manevra;";"cu sau fara scoatere de sub tensiune a instalatiei la care se lucreaza sau a celei invecinate;";lucrul la sol sau la inaltime.;"categoria de personal imputernicit sa execute lucrarea (de intretinere-reparatii, de servire operativa, delegat etc.);";conditiile de clima(frig, ploaie,etc.);ABCD;PROTECTIA MUNCII;3
3762;Referitor la instruirea lucratorilor pentru conditiile specifice locului de munca urmatoarele precizari din Legea 319/96 sunt corecte:;Instruirea lucratorilor se face la schimbarea locului de munca si trebuie adaptata evolutiei riscurilor sau aparitiei unor noi riscuri;Reprezentantii lucratorilor... au dreptul la instruire corespunzatoare in afara programului de lucru;Instruirea la executarea unor lucrari speciale se efectueaza pe cheltuiala lucratorilor;Instruirea la introducerea de tehnologii noi nu se poate face pe cheltuiala lucratorilor;-;AD;PROTECTIA MUNCII;3
3763;Lucratorii au urmatoarele obligatii privind respectarea Legii securitatii si sanatatii in munca:;Sa aduca la cunostinta conducatorului locului de munca accidentele suferite de propria persoana;Lucratorii nu au obligatia sa dea relatii solicitate de catre inspectorii sanitari;Sa comunice imediat angajatorului orice situatie de munca despre care au motive intemeiate sa o considere un pericol...;Sa procedeze la scoaterea din functiune, la modificarea, schimbarea sau inlaturarea arbitrara a dispozitivelor de securitate proprii;-;AC;PROTECTIA MUNCII;3
3764;Cercetarea accidentelor este obligatorie si se efectueaza dupa cum urmeaza:;De catre inspectoratele teritoriale de munca, in cazul evenimentelor care au produs incapacitate temporara de munca la angajator persoana juridica;De catre Inspectia Muncii in cazul accidentelor colective;De catre angajator in caz de invaliditate evidenta;De catre autoritatile de sanatate publica teritoriale in cazul bolilor profesionale;-;BD;PROTECTIA MUNCII;3
3765;In sensul prevederilor Legii319/96 se considera de asemenea accident de munca:;Accidentul suferit de orice persoana... pentru salvarea de vieti omenesti;Accidentul suferit de orice persoana... pentru prevenirea ori inlaturarea unui pericol care ameninta avutul public si privat;Accidentul suferit in timpul pauzelor regulamentare...;Accidentul suferit de cei care urmeaza cursuri de calificare...;Disparitia unei persoane, in conditiile unui accident de munca si in imprejurari care indreptatesc presupunerea decesului acesteia;ABCDE;PROTECTIA MUNCII;3
3767;Constituie contraventie nerespectarea reglementarilor de securitate si sanatate in munca privind:;Folosirea surselor de foc deschis si fumatul la locurile de munca unde acestea sunt interzise;Prevenirea accidentelor prin electrocutare la executarea, si intretinerea instalatiilor si echipamentelor electrice;Asigurarea si folosirea instalatiilor electrice de constructie adecvate la locurile de munca unde nu exista pericole de incendiu sau de explozie;Asigurarea celei de-a doua surse de alimentare cu energie electrica a echipamentelor de munca;Asigurarea iluminatului de siguranta;ABDE;PROTECTIA MUNCII;3
3768;Constituie contraventie nerespectarea reglementarilor de securitate si sanatate in munca privind:;Intocmirea si respectarea documentatiilor tehnice pentru executarea lucrarilor care nu necesita masuri speciale de siguranta;Darea in exploatare sau repunerea in functiune, partiala sau totala, a echipamentelor de munca noi sau reparate;Delimitarea, ingradirea si semnalizarea zonelor periculoase;Utilizarea, intretinerea, revizia si repararea periodica a echipamentelor de munca;Asigurarea, marcarea si intretinerea cailor de acces si de circulatie;BCDE;PROTECTIA MUNCII;3
3769;Constituie infractiune nerespectarea reglementarilor de securitate si sanatate in munca privind:;Nerespectarea de catre orice persoana a obligatiilor... daca prin aceasta se creeaza un pericol grav si iminent...;Nerespectarea de catre orice persoana a obligatiilor... privind asigurarea iluminatului de siguranta;Nerespectarea de catre orice persoana a obligatiilor... si care a produs consecinte deosebite;Nerespectarea de catre orice persoana a obligatiilor... constand in repunerea in functiune a instalatiilor anterior eliminarii tuturor deficientelor...;-;ACD;PROTECTIA MUNCII;3
3770;La instalatiile, utilajele, echipamentele si aparatele care utilizeaza energie electrica interventiile sunt permise numai in baza urmatoarelor forme de lucru:;autorizatii de lucru scrise(AL);instructiuni tehnice interne de protectie a muncii(ITI-PM);propria raspundere(PR);obligatii de serviciu(OS);dispozitii verbale(DV);ABCDE;PROTECTIA MUNCII;3
3771;Pentru protectia impotriva electrocutarii prin atingere directa trebuie sa fie realizate masuri organizatorice, din care amintim:;delimitarea materiala a locului de munca;scoaterea de sub tensiune a instalatiei electrice;esalonarea operatiilor de interventie la instalatiile electrice;executarea interventiilor in baza uneia din formele de lucru;-;ACD;PROTECTIA MUNCII;3
3772;Pentru protectia impotriva electrocutarii prin atingere directa trebuie sa fie realizate masuri tehnice, din care amintim:;scoaterea de sub tensiune a instalatiei electrice;delimitarea materiala a locului de munca;ingradiri;folosirea mijloacelor de protectie electroizolante;-;ACD;PROTECTIA MUNCII;3
3773;Pentru protectia impotriva atingerii indirecta trebuie sa fie realizate masuri tehnice, din care amintim:;legarea la pamant;legarea la nul de protectie;delimitarea materiala a locului de munca;executarea interventiilor in baza uneia din formele de lucru;izolarea amplasamentului;ABE;PROTECTIA MUNCII;3
3774;Este interzisa folosirea drept protectie principala , urmatoarele masuri:;legarea la pamant;izolarea amplasamentului;legarea la nul de protectie;folosirea mijloacelor de protectie electroizolante;egalizarea si dirijarea potentialelor;BDE;PROTECTIA MUNCII;3
3775;Instalatiile sau locurile unde exista sau se exploateaza echipamente electrice trebuie sa fie dotate... cu urmatoarele categorii de mijloace de protectie:;mijloace de protectie care au drept scop protejarea omului prin izolarea acestuia fata de elementele aflate sub tensiune sau fata de pamant;detectoare mobile de tensiune;garnituri mobile de legare la pamant si in scurtcircuit;paravane, ingradiri;panouri de semnalizare;ABCDE;PROTECTIA MUNCII;3
3776;Pentru protectia impotriva electrocutarii prin atingere directa trebuie sa fie realizate masuri tehnice, din care amintim:;egalizarea potentialelor si izolarea fata de pamant a platformei de lucru;alimentarea la tensiune foarte joasa de protectie;elaborarea unor instructiuni de lucru pentru fiecare interventie la instalatiile electrice;utilizarea de dispozitive speciale pentru legaturi la pamant si in scurtcircuit;-;ABD;PROTECTIA MUNCII;3
